,MMSI,SHIPNAME,VESSEL TYPE,SPEED (KNOTSx10),COURSE,HEADING,TIMESTAMP UTC,LENGTH,Year,ship_Loc,LAT,LON,distance(in km),eastern_caldera_Loc,instance_id,ud_group
0,247218600,VALLEBIANCA,Oil/Chemical Tanker,12,63,128,2016-02-12 14:51:01,183.0,2016,"(45.93087, -130.0316)",45.93087,-130.0316,4.56,"(45.9399, -129.9742)",EC_20160212145101_20160212150101,Tanker
1,247218600,VALLEBIANCA,Oil/Chemical Tanker,12,63,128,2016-02-12 14:51:01,183.0,2016,"(45.93087, -130.0316)",45.93087,-130.0316,4.56,"(45.9399, -129.9742)",EC_20160212150101_20160212151101,Tanker
2,247218600,VALLEBIANCA,Oil/Chemical Tanker,12,63,128,2016-02-12 14:51:01,183.0,2016,"(45.93087, -130.0316)",45.93087,-130.0316,4.56,"(45.9399, -129.9742)",EC_20160212151101_20160212152101,Tanker
3,247218600,VALLEBIANCA,Oil/Chemical Tanker,10,52,135,2016-02-12 15:27:00,183.0,2016,"(45.93553, -130.0178)",45.93553,-130.0178,3.42,"(45.9399, -129.9742)",EC_20160212152101_20160212153101,Tanker
4,247218600,VALLEBIANCA,Oil/Chemical Tanker,10,52,135,2016-02-12 15:27:00,183.0,2016,"(45.93553, -130.0178)",45.93553,-130.0178,3.42,"(45.9399, -129.9742)",EC_20160212153101_20160212154101,Tanker
5,247218600,VALLEBIANCA,Oil/Chemical Tanker,12,55,138,2016-02-12 15:45:00,183.0,2016,"(45.93855, -130.0108)",45.93855,-130.0108,2.84,"(45.9399, -129.9742)",EC_20160212154101_20160212155101,Tanker
6,247218600,VALLEBIANCA,Oil/Chemical Tanker,12,55,138,2016-02-12 15:45:00,183.0,2016,"(45.93855, -130.0108)",45.93855,-130.0108,2.84,"(45.9399, -129.9742)",EC_20160212155101_20160212160101,Tanker
7,247218600,VALLEBIANCA,Oil/Chemical Tanker,13,44,133,2016-02-12 16:09:01,183.0,2016,"(45.94283, -130.0039)",45.94283,-130.0039,2.33,"(45.9399, -129.9742)",EC_20160212160101_20160212161101,Tanker
8,247218600,VALLEBIANCA,Oil/Chemical Tanker,13,44,133,2016-02-12 16:09:01,183.0,2016,"(45.94283, -130.0039)",45.94283,-130.0039,2.33,"(45.9399, -129.9742)",EC_20160212161101_20160212162101,Tanker
9,247218600,VALLEBIANCA,Oil/Chemical Tanker,13,44,133,2016-02-12 16:09:01,183.0,2016,"(45.94283, -130.0039)",45.94283,-130.0039,2.33,"(45.9399, -129.9742)",EC_20160212162101_20160212163101,Tanker
10,247218600,VALLEBIANCA,Oil/Chemical Tanker,13,44,133,2016-02-12 16:09:01,183.0,2016,"(45.94283, -130.0039)",45.94283,-130.0039,2.33,"(45.9399, -129.9742)",EC_20160212163101_20160212164101,Tanker
11,247218600,VALLEBIANCA,Oil/Chemical Tanker,13,44,133,2016-02-12 16:09:01,183.0,2016,"(45.94283, -130.0039)",45.94283,-130.0039,2.33,"(45.9399, -129.9742)",EC_20160212164101_20160212165101,Tanker
12,247218600,VALLEBIANCA,Oil/Chemical Tanker,11,41,135,2016-02-12 16:51:03,183.0,2016,"(45.95253, -129.9892)",45.95253,-129.9892,1.82,"(45.9399, -129.9742)",EC_20160212165101_20160212170101,Tanker
13,247218600,VALLEBIANCA,Oil/Chemical Tanker,19,45,135,2016-02-12 17:09:03,183.0,2016,"(45.95778, -129.9818)",45.95778,-129.9818,2.07,"(45.9399, -129.9742)",EC_20160212170101_20160212171101,Tanker
14,247218600,VALLEBIANCA,Oil/Chemical Tanker,19,45,135,2016-02-12 17:09:03,183.0,2016,"(45.95778, -129.9818)",45.95778,-129.9818,2.07,"(45.9399, -129.9742)",EC_20160212171101_20160212172101,Tanker
15,247218600,VALLEBIANCA,Oil/Chemical Tanker,19,45,135,2016-02-12 17:09:03,183.0,2016,"(45.95778, -129.9818)",45.95778,-129.9818,2.07,"(45.9399, -129.9742)",EC_20160212172101_20160212173101,Tanker
16,247218600,VALLEBIANCA,Oil/Chemical Tanker,19,45,135,2016-02-12 17:09:03,183.0,2016,"(45.95778, -129.9818)",45.95778,-129.9818,2.07,"(45.9399, -129.9742)",EC_20160212173101_20160212174101,Tanker
17,248914000,AGRIA,Bulk Carrier,95,234,237,2017-03-16 14:09:12,189.99,2017,"(45.95427, -129.9669)",45.95427,-129.9669,1.69,"(45.9399, -129.9742)",EC_20170316140912_20170316141912,Cargo
18,248914000,AGRIA,Bulk Carrier,95,234,237,2017-03-16 14:09:12,189.99,2017,"(45.95427, -129.9669)",45.95427,-129.9669,1.69,"(45.9399, -129.9742)",EC_20170316141912_20170316142912,Cargo
19,257628000,ADS ARENDAL,Bulk Carrier,81,264,266,2016-11-26 04:14:46,225.0,2016,"(45.93448, -129.9237)",45.93448,-129.9237,3.96,"(45.9399, -129.9742)",EC_20161126041446_20161126042446,Cargo
20,257628000,ADS ARENDAL,Bulk Carrier,85,266,268,2016-11-26 04:20:15,225.0,2016,"(45.93397, -129.9418)",45.93397,-129.9418,2.6,"(45.9399, -129.9742)",EC_20161126041446_20161126042446,Cargo
21,257628000,ADS ARENDAL,Bulk Carrier,88,269,270,2016-11-26 04:25:05,225.0,2016,"(45.93339, -129.9582)",45.93339,-129.9582,1.44,"(45.9399, -129.9742)",EC_20161126042446_20161126043446,Cargo
22,257628000,ADS ARENDAL,Bulk Carrier,88,266,268,2016-11-26 04:27:32,225.0,2016,"(45.93316, -129.967)",45.93316,-129.967,0.93,"(45.9399, -129.9742)",EC_20161126042446_20161126043446,Cargo
23,257661000,STAR KVARVEN,General Cargo,109,86,85,2020-07-07 12:28:50,208.77,2020,"(45.9771, -129.9958)",45.9771,-129.9958,4.46,"(45.9399, -129.9742)",EC_20200707122850_20200707123850,Cargo
24,257661000,STAR KVARVEN,General Cargo,109,86,85,2020-07-07 12:32:39,208.77,2020,"(45.97766, -129.9792)",45.97766,-129.9792,4.21,"(45.9399, -129.9742)",EC_20200707122850_20200707123850,Cargo
25,257661000,STAR KVARVEN,General Cargo,109,88,86,2020-07-07 12:34:49,208.77,2020,"(45.97804, -129.9698)",45.97804,-129.9698,4.25,"(45.9399, -129.9742)",EC_20200707122850_20200707123850,Cargo
26,257771000,STAR ARTEMIS,Bulk Carrier,99,346,344,2016-03-04 06:12:23,199.99,2016,"(45.9267, -129.9585)",45.9267,-129.9585,1.91,"(45.9399, -129.9742)",EC_20160304061223_20160304062223,Cargo
27,257771000,STAR ARTEMIS,Bulk Carrier,98,345,344,2016-03-04 06:18:14,199.99,2016,"(45.94222, -129.9636)",45.94222,-129.9636,0.86,"(45.9399, -129.9742)",EC_20160304061223_20160304062223,Cargo
28,257771000,STAR ARTEMIS,Bulk Carrier,98,338,343,2016-03-04 06:26:34,199.99,2016,"(45.96413, -129.9708)",45.96413,-129.9708,2.71,"(45.9399, -129.9742)",EC_20160304062223_20160304063223,Cargo
29,257771000,STAR ARTEMIS,Bulk Carrier,96,351,342,2016-03-04 06:32:12,199.99,2016,"(45.97893, -129.9754)",45.97893,-129.9754,4.34,"(45.9399, -129.9742)",EC_20160304062223_20160304063223,Cargo
30,303673000,MIKE O'LEARY,Tug,87,53,50,2019-10-15 03:04:44,32.19,2019,"(45.91603, -130.0284)",45.91603,-130.0284,4.97,"(45.9399, -129.9742)",EC_20191015030444_20191015031444,Fishing type
31,303673000,MIKE O'LEARY,Tug,89,52,53,2019-10-15 03:08:06,32.19,2019,"(45.92096, -130.0193)",45.92096,-130.0193,4.08,"(45.9399, -129.9742)",EC_20191015030444_20191015031444,Fishing type
32,303673000,MIKE O'LEARY,Tug,86,52,54,2019-10-15 03:13:46,32.19,2019,"(45.92944, -130.0036)",45.92944,-130.0036,2.56,"(45.9399, -129.9742)",EC_20191015030444_20191015031444,Fishing type
33,303673000,MIKE O'LEARY,Tug,87,50,52,2019-10-15 03:18:07,32.19,2019,"(45.93587, -129.9918)",45.93587,-129.9918,1.44,"(45.9399, -129.9742)",EC_20191015031444_20191015032444,Fishing type
34,303673000,MIKE O'LEARY,Tug,87,52,54,2019-10-15 03:21:07,32.19,2019,"(45.94034, -129.9837)",45.94034,-129.9837,0.74,"(45.9399, -129.9742)",EC_20191015031444_20191015032444,Fishing type
35,303673000,MIKE O'LEARY,Tug,87,51,47,2019-10-15 03:24:27,32.19,2019,"(45.94529, -129.9745)",45.94529,-129.9745,0.6,"(45.9399, -129.9742)",EC_20191015031444_20191015032444,Fishing type
36,303673000,MIKE O'LEARY,Tug,89,51,53,2019-10-15 03:26:35,32.19,2019,"(45.94855, -129.9686)",45.94855,-129.9686,1.05,"(45.9399, -129.9742)",EC_20191015032444_20191015033444,Fishing type
37,303673000,MIKE O'LEARY,Tug,86,50,55,2019-10-15 03:31:05,32.19,2019,"(45.95545, -129.9565)",45.95545,-129.9565,2.21,"(45.9399, -129.9742)",EC_20191015032444_20191015033444,Fishing type
38,311000171,ATLANTIC SUPERIOR,Self Discharging Bulk Carrier,120,215,214,2015-01-30 14:15:43,222.54,2015,"(45.95107, -129.9253)",45.95107,-129.9253,3.99,"(45.9399, -129.9742)",EC_20150130141543_20150130142543,
39,257771000,STAR ARTEMIS,Bulk Carrier,98,345,344,2016-03-04 06:18:14,199.99,2016,"(45.94222, -129.9636)",45.94222,-129.9636,0.86,"(45.9399, -129.9742)",EC_20150130142543_20150130143543,Cargo
40,311000239,AFRICAN STARLING,Bulk Carrier,121,180,182,2016-04-20 16:45:57,189.99,2016,"(45.97628, -129.9808)",45.97628,-129.9808,4.08,"(45.9399, -129.9742)",EC_20160420164557_20160420165557,Cargo
41,311000239,AFRICAN STARLING,Bulk Carrier,121,180,182,2016-04-20 16:46:08,189.99,2016,"(45.97628, -129.9808)",45.97628,-129.9808,4.08,"(45.9399, -129.9742)",EC_20160420164557_20160420165557,Cargo
42,311000239,AFRICAN STARLING,Bulk Carrier,120,181,182,2016-04-20 16:48:06,189.99,2016,"(45.96958, -129.9808)",45.96958,-129.9808,3.34,"(45.9399, -129.9742)",EC_20160420164557_20160420165557,Cargo
43,311000239,AFRICAN STARLING,Bulk Carrier,120,182,183,2016-04-20 16:51:37,189.99,2016,"(45.95738, -129.9809)",45.95738,-129.9809,2.01,"(45.9399, -129.9742)",EC_20160420164557_20160420165557,Cargo
44,311000239,AFRICAN STARLING,Bulk Carrier,120,182,183,2016-04-20 16:51:47,189.99,2016,"(45.95738, -129.9809)",45.95738,-129.9809,2.01,"(45.9399, -129.9742)",EC_20160420164557_20160420165557,Cargo
45,311000239,AFRICAN STARLING,Bulk Carrier,120,181,183,2016-04-20 16:55:08,189.99,2016,"(45.94626, -129.9812)",45.94626,-129.9812,0.89,"(45.9399, -129.9742)",EC_20160420164557_20160420165557,Cargo
46,311000239,AFRICAN STARLING,Bulk Carrier,120,183,183,2016-04-20 16:57:08,189.99,2016,"(45.93967, -129.9813)",45.93967,-129.9813,0.55,"(45.9399, -129.9742)",EC_20160420165557_20160420170557,Cargo
47,311000239,AFRICAN STARLING,Bulk Carrier,118,177,183,2016-04-20 16:59:09,189.99,2016,"(45.93309, -129.9814)",45.93309,-129.9814,0.94,"(45.9399, -129.9742)",EC_20160420165557_20160420170557,Cargo
48,311000239,AFRICAN STARLING,Bulk Carrier,118,178,183,2016-04-20 17:04:27,189.99,2016,"(45.91505, -129.9819)",45.91505,-129.9819,2.83,"(45.9399, -129.9742)",EC_20160420165557_20160420170557,Cargo
49,311000680,DUNEDIN STAR,Reefer/Containership,129,354,2,2020-12-04 05:49:58,151.0,2020,"(45.89879, -130.0002)",45.89879,-130.0002,4.99,"(45.9399, -129.9742)",EC_20201204054958_20201204055958,
50,311000680,DUNEDIN STAR,Reefer/Containership,133,7,0,2020-12-04 05:53:09,151.0,2020,"(45.91045, -130.0005)",45.91045,-130.0005,3.86,"(45.9399, -129.9742)",EC_20201204054958_20201204055958,
51,311000680,DUNEDIN STAR,Reefer/Containership,130,6,2,2020-12-04 05:57:20,151.0,2020,"(45.92567, -130.0007)",45.92567,-130.0007,2.59,"(45.9399, -129.9742)",EC_20201204054958_20201204055958,
52,311035400,CS CALVINA,Bulk Carrier,100,35,51,2015-11-02 11:24:14,189.99,2015,"(45.9285, -130.0338)",45.9285,-130.0338,4.79,"(45.9399, -129.9742)",EC_20151102112414_20151102113414,Cargo
53,338371000,POLAR ENDEAVOUR,Crude Oil Tanker,96,319,306,2016-04-13 15:32:07,272.69,2016,"(45.93269, -129.9651)",45.93269,-129.9651,1.07,"(45.9399, -129.9742)",EC_20160413153207_20160413154207,Tanker
54,338371000,POLAR ENDEAVOUR,Crude Oil Tanker,99,332,312,2016-04-13 15:37:49,272.69,2016,"(45.94291, -129.9772)",45.94291,-129.9772,0.41,"(45.9399, -129.9742)",EC_20160413153207_20160413154207,Tanker
55,338371000,POLAR ENDEAVOUR,Crude Oil Tanker,89,296,309,2016-04-13 15:41:49,272.69,2016,"(45.95043, -129.9868)",45.95043,-129.9868,1.52,"(45.9399, -129.9742)",EC_20160413153207_20160413154207,Tanker
56,303673000,MIKE O'LEARY,Tug,87,50,52,2019-10-15 03:18:07,32.19,2019,"(45.93587, -129.9918)",45.93587,-129.9918,1.44,"(45.9399, -129.9742)",EC_20160413154207_20160413155207,Fishing type
57,338415000,RACHEL CARSON,Offshore Supply Ship,44,11,5,2016-07-21 07:53:07,41.46,2016,"(45.90816, -129.994)",45.90816,-129.994,3.85,"(45.9399, -129.9742)",EC_20160721075307_20160721080307,Offshore
58,338415000,RACHEL CARSON,Offshore Supply Ship,35,12,8,2016-07-21 08:08:16,41.46,2016,"(45.9235, -129.9902)",45.9235,-129.9902,2.21,"(45.9399, -129.9742)",EC_20160721080307_20160721081307,Offshore
59,338415000,RACHEL CARSON,Offshore Supply Ship,51,358,346,2016-07-21 21:28:26,41.46,2016,"(45.9155, -130.0128)",45.9155,-130.0128,4.04,"(45.9399, -129.9742)",EC_20160721212826_20160721213826,Offshore
60,338415000,RACHEL CARSON,Offshore Supply Ship,50,346,346,2016-07-21 21:31:27,41.46,2016,"(45.91967, -130.0135)",45.91967,-130.0135,3.79,"(45.9399, -129.9742)",EC_20160721212826_20160721213826,Offshore
61,338415000,RACHEL CARSON,Offshore Supply Ship,54,356,358,2016-07-21 21:34:28,41.46,2016,"(45.92383, -130.0142)",45.92383,-130.0142,3.58,"(45.9399, -129.9742)",EC_20160721212826_20160721213826,Offshore
62,338415000,RACHEL CARSON,Offshore Supply Ship,51,5,356,2016-07-21 21:42:07,41.46,2016,"(45.93483, -130.0135)",45.93483,-130.0135,3.1,"(45.9399, -129.9742)",EC_20160721213826_20160721214826,Offshore
63,338415000,RACHEL CARSON,Offshore Supply Ship,51,8,0,2016-07-21 21:57:57,41.46,2016,"(45.95733, -130.0115)",45.95733,-130.0115,3.48,"(45.9399, -129.9742)",EC_20160721214826_20160721215826,Offshore
64,338415000,RACHEL CARSON,Offshore Supply Ship,9,123,270,2016-07-22 01:14:07,41.46,2016,"(45.9645, -130.0272)",45.9645,-130.0272,4.94,"(45.9399, -129.9742)",EC_20160722011407_20160722012407,Offshore
65,338415000,RACHEL CARSON,Offshore Supply Ship,46,182,185,2016-07-22 01:33:45,41.46,2016,"(45.954, -130.0225)",45.954,-130.0225,4.06,"(45.9399, -129.9742)",EC_20160722012407_20160722013407,Offshore
66,311000239,AFRICAN STARLING,Bulk Carrier,121,180,182,2016-04-20 16:46:08,189.99,2016,"(45.97628, -129.9808)",45.97628,-129.9808,4.08,"(45.9399, -129.9742)",EC_20160722013407_20160722014407,Cargo
67,338415000,RACHEL CARSON,Offshore Supply Ship,91,10,2,2019-08-21 18:41:08,41.46,2019,"(45.89907, -129.9926)",45.89907,-129.9926,4.76,"(45.9399, -129.9742)",EC_20190821184108_20190821185108,Offshore
